Diet,Lifespan
Free,89
Free,104
Free,387
Free,465
Free,479
Free,494
Free,496
Free,514
Free,532
Free,536
Free,545
Free,547
Free,548
Free,582
Free,606
Free,609
Free,619
Free,620
Free,621
Free,630
Free,635
Free,639
Free,648
Free,652
Free,653
Free,654
Free,660
Free,665
Free,667
Free,668
Free,670
Free,675
Free,677
Free,678
Free,678
Free,681
Free,684
Free,688
Free,694
Free,695
Free,697
Free,698
Free,702
Free,704
Free,710
Free,711
Free,712
Free,715
Free,716
Free,717
Free,720
Free,721
Free,730
Free,731
Free,732
Free,733
Free,735
Free,736
Free,738
Free,739
Free,741
Free,743
Free,746
Free,749
Free,751
Free,753
Free,764
Free,765
Free,768
Free,770
Free,773
Free,777
Free,779
Free,780
Free,788
Free,791
Free,794
Free,796
Free,799
Free,801
Free,806
Free,807
Free,815
Free,836
Free,838
Free,850
Free,859
Free,894
Free,963
Restricted,105
Restricted,193
Restricted,211
Restricted,236
Restricted,302
Restricted,363
Restricted,389
Restricted,390
Restricted,391
Restricted,403
Restricted,530
Restricted,604
Restricted,605
Restricted,630
Restricted,716
Restricted,718
Restricted,727
Restricted,731
Restricted,749
Restricted,769
Restricted,770
Restricted,789
Restricted,804
Restricted,810
Restricted,811
Restricted,833
Restricted,868
Restricted,871
Restricted,875
Restricted,893
Restricted,897
Restricted,901
Restricted,906
Restricted,907
Restricted,919
Restricted,923
Restricted,931
Restricted,940
Restricted,957
Restricted,958
Restricted,961
Restricted,962
Restricted,974
Restricted,979
Restricted,982
Restricted,1001
Restricted,1008
Restricted,1010
Restricted,1011
Restricted,1012
Restricted,1014
Restricted,1017
Restricted,1032
Restricted,1039
Restricted,1045
Restricted,1046
Restricted,1047
Restricted,1057
Restricted,1063
Restricted,1070
Restricted,1073
Restricted,1076
Restricted,1085
Restricted,1090
Restricted,1094
Restricted,1099
Restricted,1107
Restricted,1119
Restricted,1120
Restricted,1128
Restricted,1129
Restricted,1131
Restricted,1133
Restricted,1136
Restricted,1138
Restricted,1144
Restricted,1149
Restricted,1160
Restricted,1166
Restricted,1170
Restricted,1173
Restricted,1181
Restricted,1183
Restricted,1188
Restricted,1190
Restricted,1203
Restricted,1206
Restricted,1209
Restricted,1218
Restricted,1220
Restricted,1221
Restricted,1228
Restricted,1230
Restricted,1231
Restricted,1233
Restricted,1239
Restricted,1244
Restricted,1258
Restricted,1268
Restricted,1294
Restricted,1316
Restricted,1327
Restricted,1328
Restricted,1369
Restricted,1393
Restricted,1435
