Word,Length,Age_Of_Acquisition,LDT
a,1,2.893,798.9169999999999
abacus,6,8.69,964.4
abandon,7,8.32,695.719
abandoned,9,8.32,860.7740000000001
abandoning,10,8.32,740.545
abandonment,11,10.27,771.0880000000001
abase,5,14.57,803.2730000000001
abasement,9,15.131,1037.059
abate,5,14.44,719.5419999999999
abated,6,14.44,894.227
abbess,6,15.43,885.143
abbey,5,13.06,726.19
abbot,5,12.104,808.5830000000001
abbreviate,10,9.95,795.0319999999999
abbreviated,11,10.5,698.4519999999999
abbreviation,12,9.11,728.909
abbreviations,13,9.11,729.129
abdicate,8,12.6,1056
abdomen,7,8.61,813.433
abdominal,9,10.24,715.548
abduct,6,11.26,769.6669999999999
abduction,9,11.94,795.875
aberrant,8,13.31,955.385
aberration,10,12.69,946.55
aberrations,11,12.69,1005.368
abet,4,12.15,792
abetted,7,12.15,998.5
abeyance,8,15,914
abhor,5,13.76,786.15
abhorred,8,13.76,798.444
abhorrent,9,12.14,794.154
abide,5,9.5,773.212
abides,6,9.5,750.63
abiding,7,10.3,784.6669999999999
abilities,9,8.84,657.0619999999999
ability,7,8.84,619.677
abject,6,14,692.6669999999999
ablaze,6,10.83,740.727
able,4,7.79,623.303
abnormal,8,10.05,684.909
abnormalities,13,11.58,898.3669999999998
abnormality,11,11.58,781.4409999999999
aboard,6,8.662,628.161
abode,5,12.06,855.833
abolish,7,10.42,703.219
abolished,9,10.42,664.625
abolition,9,13.28,834.333
abolitionist,12,12.6,982.893
abolitionists,13,12.6,1010.967
abominable,10,8.94,829.071
abominate,9,15,888.5930000000001
aboriginal,10,14.75,916.727
aborigine,9,12.56,933.6
aborigines,10,12.56,977.364
abort,5,12.21,672.484
abortion,8,13.21,686.4549999999999
abortionist,11,15,833.824
abortions,9,13.21,774.633
abortive,8,13.93,881.077
abound,6,11.65,768.9
abounded,8,11.65,832.31
abounding,9,11.65,884.516
abounds,7,11.65,678.903
about,5,5.071,628.1940000000001
above,5,4.549,564.333
aboveground,11,8.05,830.645
abracadabra,11,6.89,889.25
abrasion,8,11.95,807.3459999999999
abrasive,8,12.22,710.594
abreast,7,13.06,846.484
abridged,8,12.56,927.29
abroad,6,10.154,654.6880000000001
abrogate,8,15.22,798.5830000000001
abrogated,9,15.22,818.533
abrupt,6,10.95,690.971
abruptness,10,12.39,817.6790000000001
abscess,7,13.11,1033.5
abscesses,9,13.11,1061.211
abscond,7,13.36,774.111
absence,7,7.7,687
absences,8,7.7,812.118
absent,6,6.5,665.324
absentee,8,11,886.7860000000001
absenteeism,11,13.43,963.421
absolute,8,8.53,707.029
absolutely,10,7.085,667
absoluteness,12,12.68,888.8389999999999
absolutes,9,8.53,826.697
absolution,10,11.71,842.875
absolve,7,12.9,730.12
absorb,6,8.83,633.7810000000001
absorbed,8,8.83,735.406
absorbent,9,10.32,793.7330000000001
absorber,8,10.33,794.7
absorbing,9,8.83,747.0619999999999
absorbs,7,8.83,675
absorption,10,10.94,825.69
absorptions,11,10.94,841.125
abstain,7,12.95,729.5
abstaining,10,12.95,861.875
abstention,10,15.19,985.389
abstinence,10,12.74,884.379
abstract,8,11.47,667.909
abstracting,11,11.47,875.258
abstraction,11,13.65,820.0619999999999
abstractions,12,13.65,864.3449999999999
abstracts,9,11.47,766.5
abstruse,8,14.6,1042.6
absurd,6,10.5,736.5669999999999
absurdities,11,13.21,928.44
absurdity,9,13.21,860.4689999999999
abundance,9,10.45,698.727
abundant,8,12.84,660.75
abuse,5,8.61,608.6880000000001
abused,6,8.61,620.935
abuses,6,8.61,632.576
abusive,7,9.58,799.242
abut,4,13.11,1072.333
abutment,8,15.33,1089.5
abutments,9,15.33,1164.25
abysmal,7,13.78,714.5830000000001
abyss,5,11,651.4399999999999
acacia,6,14.25,1013.5
academic,8,9.74,716.906
academics,9,9.74,682.516
academies,9,9.05,794.958
academy,7,9.05,630.97
accede,6,14.31,967.25
accelerando,11,14.5,1069.4
accelerate,10,10.74,710.853
accelerated,11,10.11,741.5619999999999
accelerating,12,10.74,832.613
acceleration,12,9.84,712.156
accelerator,11,10.27,838.229
accelerators,12,10.27,791.893
accent,6,8.6,674.97
accented,8,8.6,642.7330000000001
accents,7,8.6,641.219
accentuate,10,13.24,765.433
accentuates,11,13.24,995.727
accept,6,6.74,556.394
acceptable,10,9.84,661.0609999999999
acceptance,10,8.56,660.75
accepted,8,6.74,597.7880000000001
accepting,9,6.74,630.545
accepts,7,6.74,735.6669999999999
access,6,9.1,677.7880000000001
accesses,8,9.1,749.387
accessible,10,9.94,709.219
accessories,11,11.15,704.879
accessory,9,11.15,687.3639999999999
accident,8,5.3,621.7810000000001
accidental,10,6.75,691
accidents,9,5.3,632.735
acclaim,7,12.11,828.1880000000001
acclaims,8,12.11,801.133
acclamation,11,14,816
acclimate,9,14.24,863.125
accolade,8,12.43,960.353
accolades,9,12.43,899.0559999999999
accommodate,11,9.9,726.1469999999999
accommodated,12,9.9,705.5880000000001
accommodates,12,9.9,756.625
accommodating,13,9.9,760.448
accommodation,13,9.58,864.829
accommodations,14,9.58,770.882
accompanied,11,10.75,787.094
accompanies,11,10.75,803.448
accompaniment,13,11.18,728.3639999999999
accompanist,11,12.78,817.1790000000001
accompanists,12,12.78,886.0830000000001
accompany,9,10.75,725.8439999999999
accompanying,12,10.75,899.419
accomplice,10,9.78,784.333
accomplices,11,9.78,940.516
accomplish,10,7.84,773.121
accomplished,12,7.84,726.7880000000001
accomplishes,12,7.84,862.138
accomplishing,13,7.84,708.625
accomplishment,14,9,803.0619999999999
accomplishments,15,9,776.333
accord,6,9.65,683.71
accordance,10,11.753,767.242
accorded,8,9.65,763.742
according,9,8.449,707.182
accordion,9,8.61,930.2
accords,7,9.65,680.4409999999999
accost,6,13.37,806.808
accosted,8,13.37,796.65
account,7,8.26,619.382
accountability,14,12.16,821.206
accountable,11,11.7,729.333
accountant,10,11.67,817.1880000000001
accountants,11,11.67,742.8569999999999
accounted,9,8.26,664.829
accounting,10,12.05,632.0880000000001
accounts,8,8.26,644.9169999999999
accreditation,13,15.53,975
accredited,10,13.89,773.906
accrue,6,14.11,704.895
accrues,7,14.11,917.333
accruing,8,14.11,897.143
accumulate,10,12.3,734.0880000000001
accumulated,11,12.3,748.265
accumulates,11,12.3,749.7810000000001
accumulating,12,12.3,776.4119999999999
accumulation,12,10.5,859.879
accuracy,8,9.71,615.97
accurate,8,9.44,728.242
accusation,10,10.17,819.0619999999999
accusations,11,10.17,763.7330000000001
accusative,10,13.33,1071.368
accuse,6,9.1,626.3639999999999
accused,7,9.1,661.9689999999999
accuses,7,9.1,758.7
accusing,8,9.1,743.545
accustom,8,12,751.48
