Pcp,Group,Product,ICAR,AQScore,Age,Gender,Residence,Choice
07614cqm3,ASC,apartment,9,97,30,Female,UK,Consistent
07614cqm3,ASC,cell phone,9,97,30,Female,UK,Consistent
07614cqm3,ASC,headphones,9,97,30,Female,UK,Consistent
07614cqm3,ASC,highlighter,9,97,30,Female,UK,Inconsistent
07614cqm3,ASC,job,9,97,30,Female,UK,Consistent
07614cqm3,ASC,orange juice,9,97,30,Female,UK,Consistent
07614cqm3,ASC,paper towels,9,97,30,Female,UK,Inconsistent
07614cqm3,ASC,printer,9,97,30,Female,UK,Consistent
07614cqm3,ASC,USB drive,9,97,30,Female,UK,Consistent
07614cqm3,ASC,walking shoes,9,97,30,Female,UK,Inconsistent
0kp6uu5yk,ASC,apartment,12,86,71,Male,UK,Consistent
0kp6uu5yk,ASC,cell phone,12,86,71,Male,UK,Inconsistent
0kp6uu5yk,ASC,headphones,12,86,71,Male,UK,Consistent
0kp6uu5yk,ASC,highlighter,12,86,71,Male,UK,Consistent
0kp6uu5yk,ASC,job,12,86,71,Male,UK,Consistent
0kp6uu5yk,ASC,orange juice,12,86,71,Male,UK,Inconsistent
0kp6uu5yk,ASC,paper towels,12,86,71,Male,UK,Consistent
0kp6uu5yk,ASC,printer,12,86,71,Male,UK,Inconsistent
0kp6uu5yk,ASC,USB drive,12,86,71,Male,UK,Inconsistent
0kp6uu5yk,ASC,walking shoes,12,86,71,Male,UK,Consistent
0xwjyez37,ASC,apartment,4,79,38,Female,UK,Consistent
0xwjyez37,ASC,cell phone,4,79,38,Female,UK,Inconsistent
0xwjyez37,ASC,headphones,4,79,38,Female,UK,Consistent
0xwjyez37,ASC,highlighter,4,79,38,Female,UK,Consistent
0xwjyez37,ASC,job,4,79,38,Female,UK,Consistent
0xwjyez37,ASC,orange juice,4,79,38,Female,UK,Consistent
0xwjyez37,ASC,paper towels,4,79,38,Female,UK,Consistent
0xwjyez37,ASC,printer,4,79,38,Female,UK,Consistent
0xwjyez37,ASC,USB drive,4,79,38,Female,UK,Consistent
0xwjyez37,ASC,walking shoes,4,79,38,Female,UK,Consistent
19b8mj7zo,ASC,apartment,16,104,45,Female,UK,Consistent
19b8mj7zo,ASC,cell phone,16,104,45,Female,UK,Consistent
19b8mj7zo,ASC,headphones,16,104,45,Female,UK,Consistent
19b8mj7zo,ASC,highlighter,16,104,45,Female,UK,Consistent
19b8mj7zo,ASC,job,16,104,45,Female,UK,Consistent
19b8mj7zo,ASC,orange juice,16,104,45,Female,UK,Consistent
19b8mj7zo,ASC,paper towels,16,104,45,Female,UK,Consistent
19b8mj7zo,ASC,printer,16,104,45,Female,UK,Consistent
19b8mj7zo,ASC,USB drive,16,104,45,Female,UK,Consistent
19b8mj7zo,ASC,walking shoes,16,104,45,Female,UK,Consistent
1dez096ol,ASC,apartment,9,96,48,Female,UK,Consistent
1dez096ol,ASC,cell phone,9,96,48,Female,UK,Consistent
1dez096ol,ASC,headphones,9,96,48,Female,UK,Consistent
1dez096ol,ASC,highlighter,9,96,48,Female,UK,Inconsistent
1dez096ol,ASC,job,9,96,48,Female,UK,Consistent
1dez096ol,ASC,orange juice,9,96,48,Female,UK,Inconsistent
1dez096ol,ASC,paper towels,9,96,48,Female,UK,Inconsistent
1dez096ol,ASC,printer,9,96,48,Female,UK,Consistent
1dez096ol,ASC,USB drive,9,96,48,Female,UK,Consistent
1dez096ol,ASC,walking shoes,9,96,48,Female,UK,Consistent
1xn153mwi,ASC,apartment,13,105,41,Female,US,Consistent
1xn153mwi,ASC,cell phone,13,105,41,Female,US,Consistent
1xn153mwi,ASC,headphones,13,105,41,Female,US,Consistent
1xn153mwi,ASC,highlighter,13,105,41,Female,US,Consistent
