Pcp,Group,Product,ICAR,AQScore,Age,Gender,Residence,Choice
07614cqm3,ASC,apartment,9,97,30,Female,UK,Consistent
0kp6uu5yk,ASC,apartment,12,86,71,Male,UK,Consistent
0xwjyez37,ASC,apartment,4,79,38,Female,UK,Consistent
19b8mj7zo,ASC,apartment,16,104,45,Female,UK,Consistent
1dez096ol,ASC,apartment,9,96,48,Female,UK,Consistent
1xn153mwi,ASC,apartment,13,105,41,Female,US,Consistent
272zh06t5,ASC,apartment,9,83,41,Male,UK,Consistent
2bedq008s,ASC,apartment,5,102,41,Female,UK,Consistent
2n3l3jmiu,ASC,apartment,16,82,67,Male,UK,Consistent
2qm9xoxar,ASC,apartment,11,109,31,NA,UK,Consistent
2wqiwdqwp,ASC,apartment,15,95,25,Male,UK,Consistent
3nyp999fq,ASC,apartment,9,84,39,Male,UK,Consistent
40s1hv3xn,ASC,apartment,16,94,46,Female,US,Consistent
46htofla8,ASC,apartment,12,91,65,Female,US,Consistent
4bvhvpgwf,ASC,apartment,8,112,34,Female,NA,Consistent
4wdrh645b,ASC,apartment,14,76,49,Female,UK,Consistent
5ppx9cikl,ASC,apartment,16,99,38,Female,UK,Consistent
5puvoea77,ASC,apartment,13,88,24,Male,UK,Consistent
5rvmi6rbt,ASC,apartment,7,82,21,Female,UK,Consistent
62jthxq7o,ASC,apartment,13,97,22,Female,UK,Consistent
6797ur0gj,ASC,apartment,10,99,42,Female,UK,Consistent
6nb0jwyr4,ASC,apartment,14,79,21,Female,US,Consistent
7gjlnqpdg,ASC,apartment,1,79,54,Female,UK,Inconsistent
7nii1obt9,ASC,apartment,11,94,32,Female,UK,Consistent
7yhhbzew7,ASC,apartment,15,83,18,Female,UK,Consistent
85n2iy1xr,ASC,apartment,9,97,48,Female,UK,Consistent
b3yiioamr,ASC,apartment,2,85,52,Male,UK,Consistent
bkq5ty5hk,ASC,apartment,10,98,29,Female,UK,Inconsistent
cd115bhjp,ASC,apartment,8,92,62,Male,UK,Consistent
cvuwgu90z,ASC,apartment,16,93,45,Male,US,Consistent
dn7for0mx,ASC,apartment,4,82,23,Female,UK,Consistent
ebhyl99z8,ASC,apartment,12,104,20,Female,UK,Consistent
eu4zw20g0,ASC,apartment,14,96,48,Male,UK,Inconsistent
f69pr4ok2,ASC,apartment,8,101,31,Female,UK,Consistent
ffcal8r3k,ASC,apartment,11,93,36,Male,UK,Inconsistent
fvdirxprd,ASC,apartment,14,92,52,Male,UK,Consistent
g7br1vsco,ASC,apartment,8,109,64,Male,UK,Consistent
h3ypqoxrn,ASC,apartment,16,103,41,Male,UK,Consistent
hbdpofk5s,ASC,apartment,15,90,49,Female,US,Consistent
hgt5j7hdy,ASC,apartment,6,105,65,Male,US,Consistent
hgxif985f,ASC,apartment,7,71,54,Male,UK,Consistent
hydkp1rph,ASC,apartment,13,62,38,Female,UK,Inconsistent
hz8buhf3q,ASC,apartment,4,97,45,Male,UK,Consistent
i93ozgctz,ASC,apartment,16,96,37,Male,US,Consistent
idb1k6s6g,ASC,apartment,12,95,31,Female,UK,Consistent
jyk8vqquo,ASC,apartment,6,78,34,Female,UK,Consistent
jyoz5t1qo,ASC,apartment,13,92,62,Male,UK,Consistent
k0z73otlj,ASC,apartment,12,88,68,Female,US,Consistent
kdh6nko1i,ASC,apartment,10,90,38,Male,US,Consistent
kdrnz2gqi,ASC,apartment,16,108,42,Female,UK,Consistent
kpy79vz81,ASC,apartment,13,94,53,Male,UK,Inconsistent
l43jnl5r1,ASC,apartment,8,103,42,Male,US,Consistent
lai6ku80p,ASC,apartment,12,93,49,Female,UK,Consistent
ls1jl81lq,ASC,apartment,11,109,42,Female,US,Inconsistent
lxqsmwjr2,ASC,apartment,15,95,62,Male,UK,Consistent
mmf2ljvyx,ASC,apartment,10,99,21,Female,UK,Consistent
mrgnou0m2,ASC,apartment,15,84,47,Male,US,Inconsistent
mroelm4yf,ASC,apartment,6,95,50,Female,US,Consistent
n06ov6th2,ASC,apartment,4,78,23,Female,UK,Consistent
n7q2jxn3w,ASC,apartment,7,112,58,Female,UK,Inconsistent
nc5326767,ASC,apartment,11,98,62,Male,UK,Consistent
o12amdwp0,ASC,apartment,14,86,26,Female,UK,Consistent
o19mdn5d7,ASC,apartment,11,83,58,Female,UK,Consistent
oaomqoa8e,ASC,apartment,16,87,28,Female,UK,Consistent
p4hhwxjji,ASC,apartment,5,103,52,Male,UK,Consistent
p5jiqxdn4,ASC,apartment,12,110,26,Female,UK,Consistent
plkv693sx,ASC,apartment,15,96,67,Male,UK,Consistent
qakf9z4af,ASC,apartment,3,102,47,Female,US,Inconsistent
qs07oogr7,ASC,apartment,8,102,44,Female,UK,Consistent
R_00OvIbgSfErQMbH,NT,apartment,3,74,51,Male,UK,Consistent
R_02sCG32GSPhdyW9,NT,apartment,7,80,45,Male,UK,Consistent
R_06qwPG5VJE523OZ,NT,apartment,3,45,59,Male,US,Consistent
R_0D3sMJqSLbaCoC1,NT,apartment,2,69,22,Male,UK,Consistent
R_0fiRtqYPjbeHjrD,NT,apartment,9,63,56,Male,UK,Consistent
R_0JKZVsc1ety6iwd,NT,apartment,12,60,66,Female,US,Inconsistent
R_0JpduJbWmiXgZZX,NT,apartment,5,68,33,Female,UK,Inconsistent
R_0kwriLsNdZ1PQRD,NT,apartment,4,69,28,Female,UK,Inconsistent
R_0lxFtDu5Fg3DPbT,NT,apartment,14,53,27,Male,UK,Consistent
R_0oh0ceHzb8mqsO9,NT,apartment,8,55,40,Female,UK,Inconsistent
R_0OK5XYZlZ90Pixn,NT,apartment,4,73,48,Male,UK,Inconsistent
R_0rcwAXnrYIASrCR,NT,apartment,6,44,34,Female,UK,Consistent
R_0rNAc1mjNHKgMVn,NT,apartment,2,55,36,Female,UK,Inconsistent
R_0SCgvgQ6acd4jXv,NT,apartment,6,72,63,Male,UK,Inconsistent
R_0SVrNwNi7alPILr,NT,apartment,10,76,48,Female,UK,Inconsistent
R_0TcV76yRONyrYSV,NT,apartment,11,70,65,Male,UK,Consistent
R_0U6zVV8ownlgbyd,NT,apartment,7,68,46,Female,UK,Consistent
R_0umJAQOOJrpLpkN,NT,apartment,7,73,55,Male,UK,Consistent
R_0v985D1uel9Qi1f,NT,apartment,11,62,48,Female,US,Consistent
R_1BauTPYj6fGaPOd,NT,apartment,8,78,69,Male,UK,Consistent
R_1BrCtKxdchwWxCt,NT,apartment,5,74,36,Male,US,Consistent
R_1MITG1QmIB8jK5L,NT,apartment,13,74,44,Female,UK,Inconsistent
R_1RiW8UcnfHpfGnP,NT,apartment,7,80,64,Male,UK,Consistent
R_1TCJwq2cY3bxrff,NT,apartment,3,53,44,Female,UK,Inconsistent
R_1yTYjTnoHm9vrGR,NT,apartment,13,74,63,Male,US,Consistent
R_23ODRujnv4ASS9f,NT,apartment,9,74,55,Male,UK,Inconsistent
R_23OTFr7TtgtcFaB,NT,apartment,4,60,68,Male,UK,Consistent
R_23ThTo5c0yjV3tH,NT,apartment,5,58,21,Female,UK,Inconsistent
R_2fTfCIDMyKf3xKB,NT,apartment,7,83,37,Male,US,Inconsistent
R_2mAGwkJ2IgIDWcd,NT,apartment,12,76,48,Male,UK,Consistent
R_2nTwuBnvXHOVEY5,NT,apartment,10,89,49,Female,UK,Consistent
R_2sMCz4dPk89ll2J,NT,apartment,8,51,25,Female,UK,Consistent
R_2u81jhZym8EVfZH,NT,apartment,4,47,25,Female,UK,Consistent
R_39kb2G7bRHMPzkV,NT,apartment,2,55,41,Female,UK,Consistent
R_39mEeyLCrcEWblP,NT,apartment,8,65,48,Female,UK,Inconsistent
R_39shd1wXYKR3bpP,NT,apartment,10,59,32,Female,UK,Consistent
R_3fpGETKWPDkLgHj,NT,apartment,16,70,43,Male,US,Consistent
R_3JlRxsdAUKdYggl,NT,apartment,7,58,48,Male,UK,Consistent
R_3lR0llkaHXMj2PX,NT,apartment,6,79,27,Female,UK,Consistent
