Pcp,Group,Product,ICAR,AQScore,Age,Gender,Residence,Choice
07614cqm3,ASC,job,9,97,30,Female,UK,Consistent
0kp6uu5yk,ASC,job,12,86,71,Male,UK,Consistent
0xwjyez37,ASC,job,4,79,38,Female,UK,Consistent
19b8mj7zo,ASC,job,16,104,45,Female,UK,Consistent
1dez096ol,ASC,job,9,96,48,Female,UK,Consistent
1xn153mwi,ASC,job,13,105,41,Female,US,Consistent
272zh06t5,ASC,job,9,83,41,Male,UK,Consistent
2bedq008s,ASC,job,5,102,41,Female,UK,Inconsistent
2n3l3jmiu,ASC,job,16,82,67,Male,UK,Consistent
2qm9xoxar,ASC,job,11,109,31,NA,UK,Consistent
2wqiwdqwp,ASC,job,15,95,25,Male,UK,Consistent
3nyp999fq,ASC,job,9,84,39,Male,UK,Consistent
40s1hv3xn,ASC,job,16,94,46,Female,US,Consistent
46htofla8,ASC,job,12,91,65,Female,US,Inconsistent
4bvhvpgwf,ASC,job,8,112,34,Female,NA,Consistent
4wdrh645b,ASC,job,14,76,49,Female,UK,Consistent
5ppx9cikl,ASC,job,16,99,38,Female,UK,Consistent
5puvoea77,ASC,job,13,88,24,Male,UK,Inconsistent
5rvmi6rbt,ASC,job,7,82,21,Female,UK,Consistent
62jthxq7o,ASC,job,13,97,22,Female,UK,Inconsistent
6797ur0gj,ASC,job,10,99,42,Female,UK,Consistent
6nb0jwyr4,ASC,job,14,79,21,Female,US,Consistent
7gjlnqpdg,ASC,job,1,79,54,Female,UK,Inconsistent
7nii1obt9,ASC,job,11,94,32,Female,UK,Consistent
7yhhbzew7,ASC,job,15,83,18,Female,UK,Consistent
85n2iy1xr,ASC,job,9,97,48,Female,UK,Consistent
b3yiioamr,ASC,job,2,85,52,Male,UK,Consistent
bkq5ty5hk,ASC,job,10,98,29,Female,UK,Inconsistent
cd115bhjp,ASC,job,8,92,62,Male,UK,Consistent
cvuwgu90z,ASC,job,16,93,45,Male,US,Consistent
dn7for0mx,ASC,job,4,82,23,Female,UK,Inconsistent
ebhyl99z8,ASC,job,12,104,20,Female,UK,Consistent
eu4zw20g0,ASC,job,14,96,48,Male,UK,Consistent
f69pr4ok2,ASC,job,8,101,31,Female,UK,Consistent
ffcal8r3k,ASC,job,11,93,36,Male,UK,Consistent
fvdirxprd,ASC,job,14,92,52,Male,UK,Consistent
g7br1vsco,ASC,job,8,109,64,Male,UK,Consistent
h3ypqoxrn,ASC,job,16,103,41,Male,UK,Consistent
hbdpofk5s,ASC,job,15,90,49,Female,US,Consistent
hgt5j7hdy,ASC,job,6,105,65,Male,US,Inconsistent
hgxif985f,ASC,job,7,71,54,Male,UK,Consistent
hydkp1rph,ASC,job,13,62,38,Female,UK,Inconsistent
hz8buhf3q,ASC,job,4,97,45,Male,UK,Consistent
i93ozgctz,ASC,job,16,96,37,Male,US,Consistent
idb1k6s6g,ASC,job,12,95,31,Female,UK,Consistent
jyk8vqquo,ASC,job,6,78,34,Female,UK,Consistent
jyoz5t1qo,ASC,job,13,92,62,Male,UK,Consistent
k0z73otlj,ASC,job,12,88,68,Female,US,Consistent
kdh6nko1i,ASC,job,10,90,38,Male,US,Consistent
kdrnz2gqi,ASC,job,16,108,42,Female,UK,Consistent
kpy79vz81,ASC,job,13,94,53,Male,UK,Consistent
l43jnl5r1,ASC,job,8,103,42,Male,US,Consistent
lai6ku80p,ASC,job,12,93,49,Female,UK,Consistent
ls1jl81lq,ASC,job,11,109,42,Female,US,Inconsistent
lxqsmwjr2,ASC,job,15,95,62,Male,UK,Consistent
mmf2ljvyx,ASC,job,10,99,21,Female,UK,Consistent
mrgnou0m2,ASC,job,15,84,47,Male,US,Inconsistent
mroelm4yf,ASC,job,6,95,50,Female,US,Consistent
n06ov6th2,ASC,job,4,78,23,Female,UK,Consistent
n7q2jxn3w,ASC,job,7,112,58,Female,UK,Consistent
nc5326767,ASC,job,11,98,62,Male,UK,Inconsistent
o12amdwp0,ASC,job,14,86,26,Female,UK,Consistent
o19mdn5d7,ASC,job,11,83,58,Female,UK,Consistent
oaomqoa8e,ASC,job,16,87,28,Female,UK,Consistent
p4hhwxjji,ASC,job,5,103,52,Male,UK,Consistent
p5jiqxdn4,ASC,job,12,110,26,Female,UK,Consistent
plkv693sx,ASC,job,15,96,67,Male,UK,Consistent
qakf9z4af,ASC,job,3,102,47,Female,US,Consistent
qs07oogr7,ASC,job,8,102,44,Female,UK,Consistent
R_00OvIbgSfErQMbH,NT,job,3,74,51,Male,UK,Consistent
R_02sCG32GSPhdyW9,NT,job,7,80,45,Male,UK,Consistent
